SLDT
AAA
AAD
AAM
AAS
ADC
ADD
ADDPD
ADDPS
ADDSD
ADDSS
ADDSUBPD
ADDSUBPS
AESDEC
AESDECLAST
AESENC
AESENCLAST
AESIMC
AESKEYGENASSIST
ALTINST
AND
ANDN
ANDNPD
ANDNPS
ANDNPS*
ANDPD
ANDPS
ARPL
BEXTR
BLCFILL
BLCI
BLCIC
BLCMASK
BLCS
BLENDPD
BLENDPS
BLENDVPD
BLENDVPS
BLSFILL
BLSI
BLSIC
BLSMSK
BLSR
BOUND
BSWAP
BZHI
CALL
CBW
CDQE
CLC
CLD
CLFLUSH
CLGI
CLI
CLTS
CMC
CMOVA
CMOVAE
CMOVB
CMOVBE
CMOVC
CMOVcc
CMOVE
CMOVG
CMOVGE
CMOVL
CMOVLE
CMOVNA
CMOVNAE
CMOVNB
CMOVNBE
CMOVNC
CMOVNE
CMOVNG
CMOVNGE
CMOVNL
CMOVNLE
CMOVNO
CMOVNP
CMOVNS
CMOVNZ
CMOVO
CMOVP
CMOVPE
CMOVPO
CMOVS
CMOVZ
CMP
CMPPD
CMPPS
CMPSB
CMPSD
CMPSQ
CMPSS
CMPSW
CMPXCHG
CMPXCHG16B
CMPXCHG8B
COMISD
COMISS
CPUID
CQO
CRC32
CVTDQ2PD
CVTDQ2PS
CVTPD2DQ
CVTPD2PI
CVTPD2PS
CVTPI2PD
CVTPI2PS
CVTPS2DQ
CVTPS2PD
CVTPS2PI
CVTSD2SI
CVTSD2SS
CVTSI2SD
CVTSI2SS
CVTSS2SD
CVTSS2SI
CVTTPD2DQ
CVTTPD2PI
CVTTPS2DQ
CVTTPS2PI
CVTTSD2SI
CVTTSS2SI
CWD
DAA
DAS
DEC
DIV
DIVPD
DIVPS
DIVSD
DIVSS
DPPD
DPPS
EMMI
EMMS
ENTER
ESC
EXTRACTPS
EXTRQ
F2XM1
FABS
FADD
FADDP
FBLD
FBSTP
FCHS
FCLEX
FCMOV
FCMOVB
FCMOVBE
FCMOVE
FCMOVNB
FCMOVNBE
FCMOVNE
FCMOVNU
FCMOVU
FCOM
FCOMI
FCOMI
FCOMIP
FCOMP
FCOMPP
FCOS
FDECSTP
FDISI
FDIV
FDIVP
FDIVR
FDIVRP
FEMMS
FENI
FFREE
FIADD
FICOM
FICOMP
FIDIV
FIDIVR
FILD
FIMUL
FINCSTP
FINIT
FIST
FISTP
FISTTP
FISUB
FISUBR
FLD
FLD1
FLDCW
FLDENV
FLDENVD
FLDENVW
FLDL2E
FLDL2T
FLDLG2
FLDLN2
FLDPI
FLDZ
FMUL
FMULP
FNCLEX
FNDISI
FNENI
FNINIT
FNOP
FNSAVE
FNSAVEW
FNSTCW
FNSTENV
FNSTENVW
FNSTSW
FPATAN
FPREM
FPREM1
FPTAN
FRNDINT
FRSTOR
FRSTORD
FRSTORW
FSAVE
FSAVED
FSAVEW
FSCALE
FSETPM
FSIN
FSINCOS
FSQRT
FST
FSTCW
FSTENV
FSTENVD
FSTENVW
FSTP
FSTSW
FSUB
FSUBP
FSUBR
FSUBRP
FTST
FUCOM
FUCOMI
FUCOMIP
FUCOMP
FUCOMPP
FWAIT
FXAM
FXCH
FXRSTOR
FXSAVE
FXTRACT
FYL2X
FYL2XP1
HADDPD
HADDPS
HLT
HSUBPD
HSUBPS
ICEBP
IDIV
IMUL
IN
INC
INS
INSERTPS
INSERTQ
INT
INTO
INVD
INVLPG
INVLPGA
IRET
IRETQ
Jcc
JCXZ
JMP
JRCXZ
LAHF
LAR
LDDQU
LDMXCSR
LDS
LEA
LEAVE
LES
LFENCE
LGDT
LIDT
LLDT
LMSW
LOADALL
LOADALLD
LOCK
LODSB
LODSQ
LODSW
LOOP/LOOPx
LSL
LTR
LZCNT
MASKMOVDQU
MASKMOVQ
MAXPD
MAXPS
MAXSD
MAXSS
MFENCE
MINPD
MINPS
MINSD
MINSS
MMX
MONITOR
MOV
MOV(CRn)
MOV(DRn)
MOVAPD
MOVAPS
MOVD
MOVDQ2Q
MOVDQA
MOVDQU
MOVHLPS
MOVHPD
MOVHPS
MOVLHPS
MOVLPD
MOVLPS
MOVMSKPD
MOVMSKPS
MOVNTDQ
MOVNTDQA
MOVNTI
MOVNTPD
MOVNTPS
MOVNTQ
MOVNTSD
MOVNTSS
MOVQ
